Title,Price,Link,Image,Availability,ID,Brand,Model,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory,Wi-Fi,Bluetooth,Keyboard,Ports,Screen Type,Screen Size,Screen Resolution,Screen Refresh Rate
"Pc Portable Gamer GIGABYTE G5MF5, I7-13620H, 16Go, RTX 4050 -15.6"" FHD 144Hz","3 299,000 TND",https://www.scoopgaming.com.tn/13864-pc-portable-gamer-gigabyte-g5mf5-i7-13620h-16go-rtx-4050-156-fhd-144hz.html,https://www.scoopgaming.com.tn/20387-home_default/pc-portable-gamer-gigabyte-g5mf5-i7-13620h-16go-rtx-4050-156-fhd-144hz.jpg,Disponible,G5MF5-I7,gigabyte,g5 mf5,Intel,i7 13620h,10,4.9,24,16,ddr5,1,ssd,tb,nvidia,rtx 4050,6,Unknown,Unknown,"clavier 15 couleurs, 1 xusb 2.0, 1 xusb 3.2, 2 xusb 3.2 type c , 1 xmini dp, hdmi, prise audio, 1 xrj 45, 1x lecteur carte.",1x lecteur carte.,Unknown,15.6,fhd,144
"PC Portable Gamer MSI Katana 15 B13VFK-1692FR, i5-13ème, RTX 4060, 16Go, 15.6"" FHD 144hz","3 269,000 TND",https://www.scoopgaming.com.tn/13988-pc-portable-gamer-msi-katana-15-b13vfk-1692fr-i5-13eme-rtx-4060-16go-156-fhd-144hz.html,https://www.scoopgaming.com.tn/21339-home_default/pc-portable-gamer-msi-katana-15-b13vfk-1692fr-i5-13eme-rtx-4060-16go-156-fhd-144hz.jpg,Hors stock,9S7-158571-1692,msi,katana 15 b13 vfk 1692 fr,Intel,i5 13420h,8,4.6,12,16,ddr5,512,ssd,gb,nvidia,rtx 4060,8,Unknown,Unknown,"clavier 4 zone rgb, wi fi 6, 1x type c, 1x hdmi 2.1, 2x usb 3.2, 1x jack 3,5 mm femelle stéréo, 1x usb 2.0","1x type c, 1x hdmi 2.1, 2x usb 3.2, 1x jack 3,5 mm femelle stéréo, 1x usb 2.0",ips,15.6,fhd,144
"Pc Portable Gamer msi Cyborg 15 A13VF-1491XFR, i7-13ème, RTX 4060, 8Go, 15.6"" FHD","3 339,000 TND",https://www.scoopgaming.com.tn/14044-296-pc-portable-gamer-msi-cyborg-15-a13vf-1491xfr-i7-13eme-rtx-4060-8go-156-fhd.html#/7-ram-8_go,https://www.scoopgaming.com.tn/21877-home_default/pc-portable-gamer-msi-cyborg-15-a13vf-1491xfr-i7-13eme-rtx-4060-8go-156-fhd.jpg,Disponible,9S7-15K111-1491,msi,cyborg 15 a13 vf,Intel,i7 13620h,10,4.90,24,8,ddr5,512,nvme,gb,nvidia,rtx 4060,8,Unknown,Unknown,"clavier gaming à rétroéclairage bleu, wi fi 6","2x type a usb3.2 gen1, 1x type c usb3.2 gen1 displayport , 1x hdmi 2.1 4k 60 hz ",ips,15.6,fhd,144
"PC Gamer MSI Katana 17 B13UDXK-1439XFR, i7-13ème, RTX 3050, 8Go, 17.3"" FHD 144hz","3 419,000 TND",https://www.scoopgaming.com.tn/14045-300-pc-gamer-msi-katana-17-b13udxk-1439xfr-i7-13eme-rtx-3050-8go-173-fhd-144hz.html#/7-ram-8_go,https://www.scoopgaming.com.tn/21881-home_default/pc-gamer-msi-katana-17-b13udxk-1439xfr-i7-13eme-rtx-3050-8go-173-fhd-144hz.jpg,Disponible,9S7-17L541-1439,msi,katana 17 b13 udxk 1439 xfr,Intel,i7 13620h,10,4.9,24,8,ddr5,512,ssd,gb,nvidia,rtx 3050,6,Unknown,Unknown,"clavier 4 zone rgb, wi fi 6, 1x type c, 1x hdmi 2.1, 2x usb 3.2, 1x jack 3,5 mm femelle stéréo, 1x usb 2.0","1x type c, 1x hdmi 2.1, 2x usb 3.2, 1x jack 3,5 mm femelle stéréo, 1x usb 2.0",Unknown,17.3,fhd,144
"PC Portable Gamer MSI Katana GF66 12UC-052FR, i5-12ème, 8Go,RTX 3050, écran 15.6"" Full HD 144hz","3 499,000 TND",https://www.scoopgaming.com.tn/13295-48-pc-portable-gamer-msi-katana-gf66-12uc-052fr-i5-12eme-8gortx-3050-ecran-156-full-hd-144hz.html#/7-ram-8_go,https://www.scoopgaming.com.tn/17137-home_default/pc-portable-gamer-msi-katana-gf66-12uc-052fr-i5-12eme-8gortx-3050-ecran-156-full-hd-144hz.jpg,Disponible,9S7-158422-052,Unknown,Unknown,Intel,i5 12500h,Unknown,4.5,18,8,ddr4,512,ssd,gb,nvidia,rtx 3050,4,Unknown,Unknown,clavier rétroéclairé ,Unknown,Unknown,15.6,fhd,144
"Pc Portable Gamer GIGABYTE G5KF5, I7-13620H, 16Go, RTX 4060 -15.6"" FHD 144Hz","3 589,000 TND",https://www.scoopgaming.com.tn/13863-pc-portable-gamer-gigabyte-g5kf5-i7-13620h-16go-rtx-4060-156-fhd-144hz.html,https://www.scoopgaming.com.tn/20385-home_default/pc-portable-gamer-gigabyte-g5kf5-i7-13620h-16go-rtx-4060-156-fhd-144hz.jpg,Disponible,G5KF5-I7,gigabyte,g5 kf5 i7,Intel,i7 13620h,10,4.9,24,16,ddr5,1,ssd,tb,nvidia,rtx 4060,8,Unknown,Unknown,"clavier 15 couleurs, 1 xusb 2.0, 1 xusb 3.2, 2 xusb 3.2 type c , 1 xmini dp, hdmi, prise audio, 1 xrj 45, 1x lecteur carte.",1x lecteur carte.,Unknown,15.6,fhd,144
"Pc Gamer msi Cyborg 15 A1VFK-003FR, Ultra 7, 16Go, RTX 4060, 15.6"" FHD","4 069,000 TND",https://www.scoopgaming.com.tn/13992-pc-gamer-msi-cyborg-15-a1vfk-003fr-ultra-7-16go-rtx-4060-156-fhd.html,https://www.scoopgaming.com.tn/21376-home_default/pc-gamer-msi-cyborg-15-a1vfk-003fr-ultra-7-16go-rtx-4060-156-fhd.jpg,Disponible,9S7-15K211-003,msi,cyborg 15 a1 vfk,Intel,Unknown,16,4.80,24,16,ddr5,512,nvme,gb,nvidia,rtx 4060,8,Unknown,Unknown,"clavier gaming à rétroéclairage bleu, wi fi 6","2x type a usb3.2 gen1, 1x type c usb3.2 gen1 displayport , 1x hdmi 2.1 4k 60 hz ",ips,15.6,fhd,144
"Pc Portable Gamer Asus TUF A16, Ryzen 9, 16G, RX 7600S, 16"" QHD+ 240Hz","4 159,000 TND",https://www.scoopgaming.com.tn/13813-pc-portable-gamer-asus-tuf-a16-ryzen-9-16g-rx-7600s-16-qhd-240hz.html,https://www.scoopgaming.com.tn/20120-home_default/pc-portable-gamer-asus-tuf-a16-ryzen-9-16g-rx-7600s-16-qhd-240hz.jpg,Disponible,90NR0EQ2-M005J0,asus,tuf gaming a16 fa617 xs n4085w ,AMD,ryzen 9 7940 hs,8,Unknown,24,16,ddr5,Unknown,ssd,Unknown,amd,radeon rx,Unknown,Unknown,Unknown,Unknown,"connectique 2x usb a 3.2 gen 1, 1x usb c 3.2 gen 2, 1x rj45, 1x type c usb 4 support displayport , 1x hdmi 2.1 frl.",Unknown,16,hd,240
"PC Gamer MSI Katana 17 B13VFK-1043FR, i7-13ème, RTX 4060, 16Go, 17.3"" FHD 144hz","4 549,000 TND",https://www.scoopgaming.com.tn/13976-290-pc-gamer-msi-katana-17-b13vfk-1043fr-i7-13eme-rtx-4060-16go-173-fhd-144hz.html#/8-ram-16_go,https://www.scoopgaming.com.tn/21249-home_default/pc-gamer-msi-katana-17-b13vfk-1043fr-i7-13eme-rtx-4060-16go-173-fhd-144hz.jpg,Disponible,9S7-17L541-1043,msi,katana 17 b13 vfk 1043 fr,Intel,i7 13620h,10,4.9,24,16,ddr5,1,ssd,tb,nvidia,rtx 4060,8,Unknown,Unknown,"clavier 4 zone rgb, wi fi 6, 1x type c, 1x hdmi 2.1, 2x usb 3.2, 1x jack 3,5 mm femelle stéréo, 1x usb 2.0","1x type c, 1x hdmi 2.1, 2x usb 3.2, 1x jack 3,5 mm femelle stéréo, 1x usb 2.0",Unknown,17.3,fhd,144
"Pc Gamer MSI Katana 17 B13VGK, I7-13ème, RTX 4070, 16Go, écran 17.3"" FHD 144Hz","4 799,000 TND",https://www.scoopgaming.com.tn/13918-224-pc-gamer-msi-katana-17-b13vgk-i7-13eme-rtx-4070-16go-ecran-173-fhd-144hz.html#/8-ram-16_go,https://www.scoopgaming.com.tn/20697-home_default/pc-gamer-msi-katana-17-b13vgk-i7-13eme-rtx-4070-16go-ecran-173-fhd-144hz.jpg,Hors stock,9S7-17L541-1226,msi,katana 17 b13 vgk 1226 xfr,Intel,i7 13620h,Unknown,4.90,24,16,ddr5,1,nvme,tb,nvidia,rtx 4070,8,6,Unknown,clavier 4 zone rgb,"1x type c usb3.2 gen1 dp , 2x type a usb3.2 gen1, 1x type a usb2.0, 1x hdmi 2.1 8k 60 hz 4k 120 hz , 1x rj45",Unknown,17.3,fhd,144
"Pc Gamer Asus TUF A14 FA401WV-RG060W, AMD Ryzen AI 9, 16Go, 1To SSD, RTX 4060, 14""","5 889,000 TND",https://www.scoopgaming.com.tn/14026-pc-gamer-asus-tuf-a14-fa401wv-rg060w-amd-ryzen-ai-9-16go-1to-ssd-rtx-4060-14.html,https://www.scoopgaming.com.tn/21748-home_default/pc-gamer-asus-tuf-a14-fa401wv-rg060w-amd-ryzen-ai-9-16go-1to-ssd-rtx-4060-14.jpg,Disponible,90NR0J41-M005W0,asus,tuf a14 fa401 wv rg060w ,AMD,Unknown,12,5.1,36,16,ddr5,1,ssd,tb,nvidia,rtx 4060,8,Unknown,5,Unknown,5x,ips,14,Unknown,165
"Pc Portable Gamer Asus ROG Strix G16 (2024) G614JVR, I9-14ème, 32Go, RTX 4060 - 16"" QHD+","7 599,000 TND",https://www.scoopgaming.com.tn/14083-pc-portable-gamer-asus-rog-strix-g16-2024-g614jvr-i9-14eme-32go-rtx-4060-16-qhd.html,https://www.scoopgaming.com.tn/22191-home_default/pc-portable-gamer-asus-rog-strix-g16-2024-g614jvr-i9-14eme-32go-rtx-4060-16-qhd.jpg,Disponible,90NR0II5-M006U0,asus,rog strix g16 g614 jvr n4164w ,Intel,Unknown,24,5.8,36,32,ddr5,Unknown,ssd,Unknown,nvidia,rtx 4060,Unknown,Unknown,5,clavier chiclet rétroéclairé par touche rgb,2x16g ddr5 5600 so dimm,Unknown,16,hd,240
"Pc Gamer Asus ROG Strix G16 (2024) G614JIR, I9-14ème, RTX 4070 - 16"" QHD+ @240Hz","8 199,000 TND",https://www.scoopgaming.com.tn/13960-pc-gamer-asus-rog-strix-g16-2024-g614jir-i9-14eme-rtx-4070-16-qhd-240hz.html,https://www.scoopgaming.com.tn/21073-home_default/pc-gamer-asus-rog-strix-g16-2024-g614jir-i9-14eme-rtx-4070-16-qhd-240hz.jpg,Disponible,90NR0IG5-M005W0,Unknown,Unknown,Intel,Unknown,24,Unknown,36,32,ddr5,Unknown,ssd,Unknown,nvidia,rtx 4070,Unknown,Unknown,5,"clavier chiclet rétroéclairé par touche rgb, clavier numérique",Unknown,Unknown,16,hd,240
"Pc Portable Gamer Asus ROG Flow Z13 GZ302, Ryzen™ 9 AI MAX 390, 32Go - 13.4"" 180Hz, 2.5K","8 399,000 TND",https://www.scoopgaming.com.tn/14071-pc-portable-gamer-asus-rog-flow-z13-gz302-ryzen-9-ai-max-390-32go-134-180hz-25k.html,https://www.scoopgaming.com.tn/22092-home_default/pc-portable-gamer-asus-rog-flow-z13-gz302-ryzen-9-ai-max-390-32go-134-180hz-25k.jpg,Disponible,90NR0JY1-M005B0,asus,rog flow z13 gz302 ea ru009w ,AMD,Unknown,12,5.00,76,32,ddr5,Unknown,ssd,Unknown,amd,radeon graphics,Unknown,Unknown,5,"clavier chiclet rétroéclairé 1 zone rgb, connectivité 1x usb 3.2 gen 2 type a, 2x type c usb 4 support displayport power delivery , 1x lecteur de carte microsd uhs ii, 1x hdmi.","5x 8000, stockage 1 tb",Unknown,13.4,Unknown,180
"Pc Portable Gamer ASUS ROG Zephyrus G16 - GU605MV-QR299W -  I9-185H, 32Go, RTX 4060 - 16'' 2.5K","8 679,000 TND",https://www.scoopgaming.com.tn/14085-pc-portable-gamer-asus-rog-zephyrus-g16-gu605mv-qr299w-i9-185h-32go-rtx-4060-16-25k.html,https://www.scoopgaming.com.tn/22225-home_default/pc-portable-gamer-asus-rog-zephyrus-g16-gu605mv-qr299w-i9-185h-32go-rtx-4060-16-25k.jpg,Disponible,90NR0IT2-M00EU0,asus,"rog zephyrus g16 gu605 mv qr299w i9 185h 16 cores up to 5.1 ghz, 24 mb",Unknown,Unknown,Unknown,Unknown,Unknown,32,ddr5,Unknown,ssd,Unknown,Unknown,rtx 4060,8,Unknown,Unknown,clavier rétroéclairé rgb chiclet,Unknown,Unknown,16,Unknown,240
