Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"4 379,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-13e-gen-32go-msi-rtx-4060-ventus-2x-black-8g-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-13e-gen-32go-msi-rtx-4060-ventus-2x-black-8g-oc-001.jpg,Sur commande 48h,[VIPER-13700-4060-32G],Intel,Unknown,Unknown,5.40,30,Unknown,ddr4,500,ssd,gb,Unknown,rtx 4060,Unknown
Pc de Bureau Gamer MYTEK i7 12è Gén 32G RTX 5070 12G,"4 439,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32g-rtx-5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-12e-gen-32g-rtx-5070-12g.jpg,En stock,[NITRO-12700-5070-32G],Intel,i7-12700f,Unknown,4.90,25,Unknown,ddr4,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go RTX 5070 12Go,"4 439,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-7-16go-rtx-5070-12go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-7-16go-rtx-5070-12go.jpg,Sur commande 48h,[NITRO-7700-5070],AMD,ryzen 7 7700 3,8,5.3,32,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32Go RTX 5070 12Go,"4 549,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-7-32go-rtx-5070-12go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-7-32go-rtx-5070-12go.jpg,Sur commande 48h,[NITRO-7700-5070-32G],AMD,ryzen 7 7700 3,8,5.3,32,Unknown,ddr5,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i7 12è Gén 32G ZOTAC RTX 5070 12Go,"4 599,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32g-zotac-rtx-5070-12go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-12e-gen-32g-zotac-rtx-5070-12go.jpg,Sur commande 48h,[CRYSTAL-12700K-5070],Intel,Unknown,Unknown,5.00,25,Unknown,ddr4,1,ssd,tb,Unknown,rtx 5070,12
Pc de Bureau Gamer MYTEK i7 14è Gén 16Go RTX 5070 12Go,"4 669,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-16go-rtx-5070-12go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-14e-gen-16go-rtx-5070-12go.jpg,En stock,[NITRO-14700-5070],Intel,i7-14700f,Unknown,5.4,33,Unknown,ddr4,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go RTX5070 12G,"4 699,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-rtx5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-rtx5070-12g.jpg,En stock,[ALIEN-12700-5070],Intel,i7-12700f,Unknown,4.90,25,Unknown,ddr4,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go RTX5070 12G,"4 749,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-13e-gen-32go-rtx5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-13e-gen-32go-rtx5070-12g.jpg,En stock,[ALIEN-13700-5070],Intel,i7-13700f,Unknown,5.20,30,Unknown,ddr4,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK i7 14è Gén 32Go RTX5070 12G,"4 969,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-32go-rtx5070-12g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-14e-gen-32go-rtx5070-12g.jpg,En stock,[ALIEN-14700-5070],Intel,Unknown,Unknown,5.4,33,Unknown,ddr4,1,ssd,tb,Unknown,rtx 5070,Unknown
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32G MSI RTX 4070 SUPER 12G VENTUS 2X OC,"4 999,000 DT",https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-7-32g-msi-rtx-4070-super-ventus-2x-12g-oc.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-7-32g-msi-rtx-4070-super-ventus-2x-12g-oc-012.jpg,Sur commande 48h,[COMMANDO-7700X-4070S],AMD,ryzen 7 7700x,8,Unknown,32,Unknown,ddr5,1,ssd,tb,Unknown,rtx 4070,Unknown
