Title,Price,Link,Image,Availability,ID,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory
Pc de bureau Gamer LITE / Ryzen 5 3600 / RX 580 8G / 16 Go,"1 139,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87172-pc-de-bureau-gamer-lite-ryzen-5-3600-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435431-home/pc-de-bureau-gamer-lite-ryzen-5-3600-rx-580-8g-16-go.jpg,En stock,[LITE-331-16G-SS],AMD,ryzen5-3600,Unknown,4.2,35,16,ddr4,512,ssd,gb,amd,radeon-rx-580,8
Pc de bureau Gamer Elite / Ryzen 5 5600GT / Vega 7 / 32 Go,"1 149,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/83881-pc-de-bureau-gamer-elite-ryzen-5-5600gt-vega-7-32-go.html,https://www.tunisianet.com.tn/418212-home/pc-de-bureau-gamer-elite-ryzen-5-5600gt-vega-7-32-go.jpg,En stock,[LITE-265-32G-S-1TO],AMD,ryzen5-5600-gt,Unknown,4.6,19,32,ddr4,1,ssd,tb,amd,radeon-vega-7,Unknown
Pc de bureau Gamer LITE / Ryzen 5 5500 / RX 580 8G / 16 Go,"1 159,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87174-pc-de-bureau-gamer-lite-ryzen-5-5500-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435435-home/pc-de-bureau-gamer-lite-ryzen-5-5500-rx-580-8g-16-go.jpg,En stock,[LITE-353-16G],AMD,ryzen5-5500,Unknown,4.2,19,16,ddr4,256,ssd,gb,amd,radeon-rx-580,8
Pc de bureau Gamer LITE / Ryzen 5 8500G / 16 Go DDR5,"1 179,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/84198-pc-de-bureau-gamer-lite-ryzen-5-8500g-16-go-ddr5.html,https://www.tunisianet.com.tn/419405-home/pc-de-bureau-gamer-lite-ryzen-5-8500g-16-go-ddr5.jpg,En stock,[LITE-319-16G],AMD,ryzen5-8500g,Unknown,5.0,22,16,ddr5,512,ssd,gb,amd,radeon-740m-,Unknown
Pc de bureau Gamer LITE / i3-12100F / RX 580 8G / 16 Go,"1 179,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87177-pc-de-bureau-gamer-lite-i3-12100f-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435441-home/pc-de-bureau-gamer-lite-i3-12100f-rx-580-8g-16-go.jpg,En stock,[LITE-354-16G],Intel,i3-12100f,Unknown,4.3,12,16,ddr4,256,ssd,gb,amd,radeon-rx-580,8
Pc de bureau Gamer LITE / Ryzen 5 5600GT / Vega 7 / 32 Go,"1 179,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86528-pc-de-bureau-gamer-lite-ryzen-5-5600gt-vega-7-32-go.html,https://www.tunisianet.com.tn/432584-home/pc-de-bureau-gamer-lite-ryzen-5-5600gt-vega-7-32-go.jpg,En stock,[LITE-336-32G-1TO],AMD,ryzen5-5600-gt,Unknown,4.6,19,32,ddr4,1,ssd,tb,amd,radeon-vega-7,Unknown
"Pc de bureau Gamer LITE / i3-10105F / GT 1030 4G / 16 Go Avec Écran Dahua 22"" Full HD VA / 100 Hz / VGA / HDMI","1 189,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86692-pc-de-bureau-gamer-lite-i3-10105f-gt-1030-4g-16-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.html,https://www.tunisianet.com.tn/433509-home/pc-de-bureau-gamer-lite-i3-10105f-gt-1030-4g-16-go-avec-ecran-dahua-22-full-hd-va-100-hz-vga-hdmi.jpg,En stock,[LITE-341-16G-EC],Intel,i3-10105f,Unknown,4.4,6,16,ddr4,256,ssd,gb,Unknown,Unknown,4
Pc de bureau Gamer LITE / Ryzen 7 5700G / Vega 8 / 32 Go,"1 189,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/86519-pc-de-bureau-gamer-lite-ryzen-7-5700g-vega-8-32-go.html,https://www.tunisianet.com.tn/432512-home/pc-de-bureau-gamer-lite-ryzen-7-5700g-vega-8-32-go.jpg,En stock,[LITE-328-32G],AMD,ryzen7-5700g,Unknown,4.6,20,32,ddr4,512,ssd,gb,amd,radeon-vega-8,Unknown
Pc de bureau Gamer LITE / Ryzen 5 8500G / 16 Go DDR5,"1 189,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/84200-pc-de-bureau-gamer-lite-ryzen-5-8500g-16-go-ddr5.html,https://www.tunisianet.com.tn/419413-home/pc-de-bureau-gamer-lite-ryzen-5-8500g-16-go-ddr5.jpg,En stock,[LITE-320-16G-S],AMD,ryzen5-8500g,Unknown,5.0,22,16,ddr5,512,ssd,gb,amd,radeon-740m-,Unknown
Pc de bureau Gamer LITE / Ryzen 5 5500 / RX 580 8G / 16 Go,"1 199,000 DT",https://www.tunisianet.com.tn/pc-de-bureau-gamer/87175-pc-de-bureau-gamer-lite-ryzen-5-5500-rx-580-8g-16-go.html,https://www.tunisianet.com.tn/435437-home/pc-de-bureau-gamer-lite-ryzen-5-5500-rx-580-8g-16-go.jpg,En stock,[LITE-353-16G-S],AMD,ryzen5-5500,Unknown,4.2,19,16,ddr4,512,ssd,gb,amd,radeon-rx-580,8
