Title,Price,Link,Image,Availability,ID,Brand,Model,CPU Brand,CPU Model,CPU Cores,CPU Frequency,CPU Cache,RAM Size,RAM Type,Storage Size,Storage Type,Storage Unit,GPU Brand,GPU Model,GPU Memory,Wi-Fi,Bluetooth,Keyboard,Ports,Screen Type,Screen Size,Screen Resolution,Screen Refresh Rate
Pc Portable Gamer HP Victus Gaming 15-fb0026nk / Ryzen 7 5800H / RTX 3050 4G / 8 Go /  512 Go SSD / Windows 11,"2 459,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/74209-pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-8-go-512-go-ssd-windows-11.html,https://www.tunisianet.com.tn/362962-home/pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-8-go-512-go-ssd-windows-11.jpg,En stock,[9U186EA],hp,"wide vision hd 720p avec réduction temporelle du bruit - clavier argent mica, rétroéclairé -système audio par b o, doubles haut-parleurs - 1x lecteur de cartes multimédias sd multiformat - 1x usb-c - 2x usb-a - 1x hdmi 2.1 - 1x prise combinée casque microphone - 1x port rj-45 - - windows 11 - couleur bleu - garantie 1 an",AMD,ryzen 7 5800h,Unknown,4.4,16,8,ddr4,512,nvme,gb,nvidia,rtx 3050,4,6,5,"clavier argent mica, rétroéclairé",1x lecteur de cartes multimédias sd multiformat - 1x usb-c - 2x usb-a - 1x hdmi 2.1 - 1x prise combinée casque microphone - 1x port rj-45 - - windows 11 - couleur bleu - garantie 1 an,Unknown,15.6,fhd,60
Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 32 Go / 512 Go SSD / Gris Cosmos Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,"2 464,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/80003-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-gris-cosmos.html,https://www.tunisianet.com.tn/431550-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-gris-cosmos.jpg,En stock,[B13UCX-2606XFR-32-SS],Unknown,Unknown,Intel,i7-13620h,Unknown,4.9,24,32,ddr4,512,nvme,gb,nvidia,rtx 2050,4,6,5,clavier rétroéclairé simple,"2x haut-parleurs audio 2 w compatibles hi-res audio, traitement audio dts - 1x entrée micro, 1x sortie casque - 3x usb 3.2 - 1x usb-c 3.2 - 1x hdmi - gigabit ethernet ",ips,15.6,fhd,144
Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 24 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,"2 465,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/79818-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-gris-cosmos.html,https://www.tunisianet.com.tn/431551-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-gris-cosmos.jpg,En stock,[B13UCX-2606XFR-24],msi,g34 offert avec antivirus bitdefender internet security 1 poste 1 an,Intel,i7-13620h,Unknown,4.9,24,24,ddr4,512,nvme,gb,nvidia,rtx 2050,4,6,5,clavier rétroéclairé simple,"2x haut-parleurs audio 2 w compatibles hi-res audio, traitement audio dts - 1x entrée micro, 1x sortie casque - 3x usb 3.2 - 1x usb-c 3.2 - 1x hdmi - gigabit ethernet ",ips,15.6,fhd,144
Pc Portable Gamer HP Victus Gaming 15-fa1003nk / i5-13500H / RTX 3050 6G / 16 Go DDR4 / 512 Go SSD / Windows 11 / Noir,"2 469,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/73030-pc-portable-gamer-hp-victus-gaming-15-fa1003nk-i5-13500h-rtx-3050-6g-16-go-ddr4-512-go-ssd-windows-11-noir.html,https://www.tunisianet.com.tn/356450-home/pc-portable-gamer-hp-victus-gaming-15-fa1003nk-i5-13500h-rtx-3050-6g-16-go-ddr4-512-go-ssd-windows-11-noir.jpg,En stock,[845B2EA],hp,"wide vision hd 720p - clavier argent mica, rétroéclairé - système audio bang olufsen deux haut-parleurs - 1x lecteur de cartes multimédias sd multiformat - 2x usb-a - 1x usb-c - 1x hdmi 2.1 - 1x port rj-45 - 1x prise secteur smart pin - 1x prise combinée casque microphone - windows 11 - couleur noir - garantie 1 an",Intel,i5-13500h,Unknown,4.7,18,16,ddr4,512,nvme,gb,nvidia,rtx 3050,6,6,5,"clavier argent mica, rétroéclairé",1x lecteur de cartes multimédias sd multiformat - 2x usb-a - 1x usb-c - 1x hdmi 2.1 - 1x port rj-45 - 1x prise secteur smart pin - 1x prise combinée casque microphone - windows 11 - couleur noir - garantie 1 an,ips,15.6,fhd,Unknown
Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 24 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,"2 479,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/81105-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos.html,https://www.tunisianet.com.tn/431552-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos.jpg,En stock,[B13UCX-2606XFR-24-SSW11P],Unknown,Unknown,Intel,i7-13620h,Unknown,4.9,24,24,ddr4,512,nvme,gb,nvidia,rtx 2050,4,6,5,clavier rétroéclairé simple,"2x haut-parleurs audio 2 w compatibles hi-res audio, traitement audio dts - 1x entrée micro, 1x sortie casque - 3x usb 3.2 - 1x usb-c 3.2 - 1x hdmi - gigabit ethernet ",ips,15.6,fhd,144
Pc Portable Gamer ASUS TUF Gaming A15 FA506NC / Ryzen 5 7535HS / RTX 3050 4G / 32 Go DDR5 / 512 Go SSD / Gris / Windows 11 Pro,"2 485,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/86387-pc-portable-gamer-asus-tuf-gaming-a15-fa506nc-ryzen-5-7535hs-rtx-3050-4g-32-go-ddr5-512-go-ssd-gris.html,https://www.tunisianet.com.tn/431780-home/pc-portable-gamer-asus-tuf-gaming-a15-fa506nc-ryzen-5-7535hs-rtx-3050-4g-32-go-ddr5-512-go-ssd-gris.jpg,En stock,[FA506NC-HN006-32-W11P],Unknown,Unknown,AMD,ryzen 5 7535 hs,Unknown,4.55,19,32,ddr5,512,ssd,gb,nvidia,rtx 3050,4,6,5,clavier chiclet rétroéclairé rgb touchpad,1x jack audio 3.5 mm - 1x hdmi 2.1 tmds - 3x usb 3.2 - 1x usb 3.2 type-c - 1x port lan rj45 ,ips,15.6,fhd,144
Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 16 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,"2 485,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/81102-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-16-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,https://www.tunisianet.com.tn/431553-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-16-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.jpg,En stock,[B13UCX-2606XFR-16W11P],msi,g34 offert avec antivirus bitdefender internet security 1 poste 1 an,Intel,i7-13620h,Unknown,4.9,24,16,ddr4,512,nvme,gb,nvidia,rtx 2050,4,6,5,clavier rétroéclairé simple,"2x haut-parleurs audio 2 w compatibles hi-res audio, traitement audio dts - 1x entrée micro, 1x sortie casque - 3x usb 3.2 - 1x usb-c 3.2 - 1x hdmi - gigabit ethernet ",ips,15.6,fhd,144
Pc portable HP Victus 15-fb0020nk / Ryzen 5 5600H / 24 Go / RTX 3050 4G Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,"2 489,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/60161-pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-24-go-rtx-3050-4g.html,https://www.tunisianet.com.tn/431554-home/pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-24-go-rtx-3050-4g.jpg,En stock,[6U8W2EA-24],hp,wide vision hd 720p - windows 11 - garantie 1 an avec antivirus bitdefender internet security 1 poste 1 an,AMD,ryzen 5 5600h,Unknown,4.2,16,24,Unknown,Unknown,ssd,Unknown,nvidia,rtx 3050,4,6,5,clavier rétroéclairé,Unknown,Unknown,15.6,fhd,Unknown
Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 3050 4G / 16 Go / 512 Go SSD / Gris Cosmos,"2 495,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/79820-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-16-go-512-go-ssd-gris-cosmos.html,https://www.tunisianet.com.tn/397300-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-16-go-512-go-ssd-gris-cosmos.jpg,En stock,[B13UCX-2605XFR-16],Unknown,Unknown,Intel,i5-13420h,Unknown,4.6,12,16,ddr4,512,nvme,gb,nvidia,rtx 3050,4,6,5,clavier rétroéclairé simple,"2x haut-parleurs audio 2 w compatibles hi-res audio, traitement audio dts - 1x entrée micro, 1x sortie casque - 3x usb 3.2 - 1x usb-c 3.2 - 1x hdmi - gigabit ethernet ",ips,15.6,fhd,144
Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 8 Go DDR5 / 512 Go SSD / Noir,"2 499,000 DT",https://www.tunisianet.com.tn/pc-portable-tunisie/83608-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-8-go-ddr5-512-go-ssd-noir.html,https://www.tunisianet.com.tn/431724-home/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-8-go-ddr5-512-go-ssd-noir.jpg,En stock,[V3607VJ-RP086],asus,,Intel,Unknown,Unknown,4.8,12,8,ddr5,512,ssd,gb,nvidia,rtx 3050,6,6,5,"clavier chiclet rétroéclairé avec touche numérique, course des touches de 1,5 mm, clavier tactile de précision",1x usb 3.2 type-c - 2x usb 3.2 type-a - 1x hdmi 2.1 - 1x prise audio combinée 3.5 mm ,Unknown,16,Unknown,144
